epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,63.2655,0.9477,0.87909,0.95646,0.99538,0.46875,0.4915,0.2905,1.47779,0.84323,1.35227,0.000643795,0.000643795,0.000643795
64,64.2521,1.04597,0.82185,0.94281,0.99568,0.46875,0.49276,0.29423,1.47345,0.8267,1.35028,0.000627292,0.000627292,0.000627292
65,65.1896,0.91758,0.80105,0.93338,0.99568,0.46875,0.49276,0.29423,1.47345,0.8267,1.35028,0.000610789,0.000610789,0.000610789
66,66.2037,0.91831,0.74439,0.90369,0.99546,0.46875,0.49417,0.29907,1.42226,0.7942,1.32002,0.000594286,0.000594286,0.000594286
67,67.2014,0.89524,0.78655,0.95665,0.9954,0.46875,0.49276,0.2977,1.40613,0.79376,1.31564,0.000577782,0.000577782,0.000577782
68,68.1746,0.91601,0.81136,0.94064,0.99628,0.46875,0.49036,0.29262,1.40254,0.83201,1.32124,0.000561279,0.000561279,0.000561279
69,69.0991,0.96081,0.83605,0.98215,0.99628,0.46875,0.49036,0.29262,1.40254,0.83201,1.32124,0.000544776,0.000544776,0.000544776
70,70.0672,0.97571,1.00804,1.01513,0.99725,0.46875,0.49036,0.29697,1.40215,0.84585,1.33071,0.000528272,0.000528272,0.000528272
71,71.0436,0.88508,0.75653,0.92036,0.99495,0.46875,0.49036,0.29357,1.43677,0.81514,1.34234,0.000511769,0.000511769,0.000511769
72,72.0292,0.90044,0.78388,0.9724,0.99257,0.46875,0.4915,0.29306,1.44284,0.79817,1.34279,0.000495266,0.000495266,0.000495266
73,72.9851,0.84653,0.76393,0.94785,0.99257,0.46875,0.4915,0.29306,1.44284,0.79817,1.34279,0.000478762,0.000478762,0.000478762
74,73.9744,0.78456,0.72576,0.90678,0.99226,0.46875,0.49276,0.29264,1.434,0.78789,1.33146,0.000462259,0.000462259,0.000462259
75,74.9491,0.87052,0.76214,0.8802,0.99464,0.46875,0.49417,0.30424,1.43814,0.78592,1.33356,0.000445756,0.000445756,0.000445756
76,75.9257,0.99068,0.86521,0.97011,0.99493,0.46875,0.49276,0.29512,1.43105,0.79689,1.33919,0.000429253,0.000429253,0.000429253
77,76.8652,0.90046,0.75239,0.93222,0.99493,0.46875,0.49276,0.29512,1.43105,0.79689,1.33919,0.000412749,0.000412749,0.000412749
78,77.8453,0.78729,0.69636,0.8834,0.99508,0.46875,0.49276,0.30638,1.42918,0.80622,1.34697,0.000396246,0.000396246,0.000396246
79,78.8351,0.88695,0.97943,1.04161,0.9957,0.46875,0.49276,0.30279,1.40709,0.77723,1.33341,0.000379743,0.000379743,0.000379743
80,79.8375,0.74189,0.67905,0.88893,0.99601,0.46875,0.49417,0.29994,1.40575,0.77336,1.32696,0.000363239,0.000363239,0.000363239
81,80.7725,0.76173,0.7136,0.89498,0.99601,0.46875,0.49417,0.29994,1.40575,0.77336,1.32696,0.000346736,0.000346736,0.000346736
82,81.7399,0.75757,0.68194,0.90893,0.9963,0.46875,0.49276,0.30251,1.41739,0.74789,1.31778,0.000330233,0.000330233,0.000330233
83,82.7228,0.7873,0.65162,0.90449,0.99662,0.46875,0.49276,0.30528,1.44605,0.73533,1.31095,0.000313729,0.000313729,0.000313729
84,83.7239,0.8776,0.73795,0.93008,0.997,0.46875,0.49276,0.3027,1.47572,0.73147,1.31666,0.000297226,0.000297226,0.000297226
85,84.6509,0.74027,0.68573,0.87454,0.997,0.46875,0.49276,0.3027,1.47572,0.73147,1.31666,0.000280723,0.000280723,0.000280723
86,85.6402,0.76731,0.71538,0.93326,1,0.49907,0.4975,0.30018,1.50923,0.7362,1.33523,0.00026422,0.00026422,0.00026422
87,86.6181,0.83685,0.70769,0.93329,1,0.49905,0.4975,0.28665,1.52371,0.75307,1.34849,0.000247716,0.000247716,0.000247716
88,87.6109,0.76881,0.74775,0.92847,1,0.4989,0.4975,0.28964,1.50604,0.75532,1.34634,0.000231213,0.000231213,0.000231213
89,88.5363,0.81633,0.67538,0.91095,1,0.4989,0.4975,0.28964,1.50604,0.75532,1.34634,0.00021471,0.00021471,0.00021471
90,89.5443,0.6975,0.63795,0.90505,1,0.49892,0.4975,0.28675,1.48966,0.73801,1.33967,0.000198206,0.000198206,0.000198206
91,90.5041,0.68433,0.76422,0.8925,1,0.49925,0.4975,0.28727,1.47898,0.72633,1.33305,0.000181703,0.000181703,0.000181703
92,91.4491,0.67748,0.73584,0.91884,1,0.49942,0.4975,0.28687,1.46962,0.71808,1.3269,0.0001652,0.0001652,0.0001652
93,92.3385,0.70435,0.75101,0.83406,1,0.49942,0.4975,0.28687,1.46962,0.71808,1.3269,0.000148696,0.000148696,0.000148696
94,93.2835,0.67296,0.78083,0.86007,1,0.49956,0.4975,0.28455,1.4695,0.71496,1.32688,0.000132193,0.000132193,0.000132193
95,94.2524,0.66884,0.77825,0.84729,1,0.4995,0.4975,0.2881,1.47399,0.71871,1.32607,0.00011569,0.00011569,0.00011569
96,95.1751,0.61422,0.72597,0.88584,1,0.49937,0.4975,0.2864,1.47998,0.71682,1.32963,9.91865e-05,9.91865e-05,9.91865e-05
97,96.0851,0.66721,0.75494,0.85454,1,0.49937,0.4975,0.2864,1.47998,0.71682,1.32963,8.26832e-05,8.26832e-05,8.26832e-05
98,97.0225,0.61592,0.72734,0.84489,1,0.4992,0.4975,0.28586,1.48049,0.72687,1.32996,6.61799e-05,6.61799e-05,6.61799e-05
99,97.9771,0.76714,0.9152,0.87509,1,0.4991,0.4975,0.28501,1.47845,0.72502,1.33077,4.96766e-05,4.96766e-05,4.96766e-05
100,98.9342,0.6237,0.78555,0.83711,1,0.49906,0.4975,0.29355,1.47646,0.72586,1.33136,3.31733e-05,3.31733e-05,3.31733e-05
