frame,Antonsen_distance,Chou_distance
111,7.832604102790356,14.716884343884885
112,7.86491884291172,14.964230968616903
113,7.92710692062974,15.296893789432943
114,8.017679046839476,15.529421865008771
115,8.097352471202612,15.722404315136373
116,8.216321017593145,15.978860481642187
117,8.464316289871931,16.458363487385213
118,8.630532886832952,16.779538824222982
119,8.754112493246794,17.008409752510488
120,8.872060690075159,17.19757807161659
121,9.030256781727076,17.415604188106954
122,9.154790733009577,17.714962436817586
123,9.262172397226095,17.916068657301366
124,9.377671677619219,18.081358938477933
125,9.671307910233736,18.382734118960798
126,9.838451061397791,18.569805993698537
127,9.949560981243849,18.733645542524755
128,10.082287069410086,18.889578401111066
129,10.452497478574514,19.087468712590635
130,10.642293956130743,19.269625081680715
131,10.747463058680296,19.495604216121137
132,10.772568199783564,19.640510647557676
133,10.879630129784346,19.883661835454404
134,10.90356595814228,19.9523042505607
135,10.916697678156197,19.99969509523362
136,10.96818155515939,20.03575390111655
137,11.055597667582333,20.07711801957339
138,11.067970200441778,20.087241212837398
139,11.103010716848075,20.11062656994909
140,11.141060839407146,20.150610010139644
141,11.233922901563346,20.24035458546132
142,11.340082193724811,20.266336045227945
143,11.40457910578698,20.277624037116766
144,11.443730807863176,20.33781735226512
145,11.64716965612024,20.369700394570827
146,11.838182649575174,20.42107516899705
147,11.95992353465408,20.44893502444029
148,12.016975960694253,20.491642862558365
149,12.031648374162614,20.608514085412025
150,12.091269667260349,20.645788073539734
151,12.21333624701947,20.71107143908739
152,12.327363672666252,20.752566553652287
153,12.509463998489082,20.947190634906292
154,12.689933213405311,21.03163280338049
155,12.823729666881263,21.174679346382618
156,13.091762009076774,21.25997480005026
157,13.474413129501045,21.38072979450226
158,13.772845628671348,21.455103509128094
159,13.941845464520156,21.480395380407572
160,14.042793023400009,21.500801526010036
161,14.15878904890269,21.54411381110549
162,14.217340788803995,21.56205046735704
163,14.339778526686132,21.63018816523254
164,14.484656020067632,21.65402196161449
165,14.767163976095617,21.68478425219655
166,14.888335301540792,21.73965235799551
167,15.049100964330137,21.784613858908415
168,15.151595159433782,21.839906811714172
169,15.20096145849675,22.02062939107418
170,15.257678522728384,22.335622295737267
171,15.317080969922245,22.45908384770155
172,15.359504788182676,22.532762795686722
